x_m-,y_m-,x_m+,y_m+,K_x,K_y,V,x_m+,y_m+,K_x,K_y,V
-2,-1.8,2.2,1.6,1,5,102,4,3,20,500,20
-2,-1.8,2.2,1.6,1,5,90.5,3,2.7,20,500,18
-1.8,-1.8,2.1,1.6,1,5,80,4.8,2.5,10,500,16
-1.7,-1.8,2,1.6,1,5,70,4,2.2,10,500,14
-1.6,-1.8,1.8,1.6,1,5,60,3.4,1.9,10,500,12
-2.8,-1.8,3,1.6,0.5,5,50.5,2.6,4,10,200,10
-2.4,-1.8,2.4,1.2,0.5,5,40,4.3,3.2,5,200,8
-4,-2,5,1.4,0.2,2,30,3.4,2.4,5,200,6
-2.6,-2.8,3.4,2,0.2,0.1,20.5,2.3,3.2,5,100,4
-2.8,-1.4,3.4,1.4,0.2,0.02,10,,,,,
0.2,-1.2,0.2,1.2,0.05,0.02,0.5,,,,,
-2.6,-1.8,2.8,1.4,0.5,5,45,,,,,
-3,-1.8,3.4,1.5,0.5,5,55,,,,,
