z,B,I,B2,B2 diap,n,B cylinder,B square,mass
0,7.84,0.5,8.25,20,1,335,291,2.944
0.5,7.94,1,15.84,20,2,415,394,2.983
1,8.04,1.5,23.2,200,3,436,433,3.02
1.5,8.1,2,30.4,200,4,449,453,3.024
2,8.16,2.5,38.1,200,5,446,463,3.051
2.5,8.19,,,,6,450,469,2.997
3,8.22,,,,7,453,472,3
3.5,8.24,,,,8,440,475,3.01
4,8.25,,,,9,440,476,2.98
4.5,8.24,,,,10,442,477,3.019
5,8.21,,,,,,,
5.5,8.19,,,,,,,
6,8.14,,,,,,,
6.5,8.09,,,,,,,
7,8.02,,,,,,,
7.5,7.93,,,,,,,
8,7.81,,,,,,,
8.5,7.67,,,,,,,
9,7.49,,,,,,,
9.5,7.18,,,,,,,
10,6.85,,,,,,,
10.5,6.44,,,,,,,
11,5.92,,,,,,,
11.5,5.32,,,,,,,
12,4.63,,,,,,,
12.5,3.91,,,,,,,
13,3.18,,,,,,,
13.5,2.56,,,,,,,
14,2.14,,,,,,,
14.5,1.71,,,,,,,
15,1.3,,,,,,,
