delta_P,sigma_delta_P,delta_V,delta_T,delta_l,delta_P,sigma_delta_P,delta_V,delta_T,delta_l
10,1,0.5,35,11.2,10,1,1,26.25,11.5
20,1,1,37,30,15,1,1,16.84,30
30,1,1,25,40,20,1,1,12.87,40
40,1,1,18.5,50,25,1,1,10,50
50,1,1,14.62,,30,1,1,8.57,
60,1,1,12.69,,35,1,1,7.46,
70,1,1,10.91,,40,2,2,14.28,
80,2,1,9.87,,53,2,2,13.13,
93,2,2,19.34,,73,3,2,11.97,
105,3,2,19.14,,93,3,2,10.56,
130,3,2,17.65,,111,2,2,9.57,
149,3,2,17.19,,130,1,2,8.82,
169,2,2,16.28,,150,1,2,8.12,
200,2,2,15,,171,1,3,11.31,
220,1,2,14.28,,190,1,3,10.85,
242,1,2,13.31,,210,1,3,10.13,
258,1,2,12.97,,,,,,
280,1,2,12.31,,,,,,
