f,U,U_mult,f_sigma,f,U,U_mult,f_sigma,f,U,U_mult,f_sigma,C,f_p
2.01,2.8,5,0.01,2,2.8,5,0.01,2,2.8,5,0.01,1,13.6
3.01,4.8,5,0.01,3,4.8,5,0.01,3,4.4,5,0.01,2,9.53
4,6.8,5,0.01,4,6.8,5,0.01,4,6.2,5,0.01,3,7.81
5,4.6,10,0.01,5,4.8,10,0.01,5,4.4,10,0.01,4,6.66
6,7.4,10,0.01,6,7.6,10,0.01,6,6,10,0.01,5,5.89
7,7.4,20,0.01,7,6.8,20,0.01,7,7.8,10,0.01,6,5.37
8,5.6,50,0.01,8,4.4,50,0.01,8,4.4,20,0.01,7,4.91
9,3.4,50,0.01,9,3.2,50,0.01,9,4.4,20,0.01,8,4.6
10,5.4,20,0.01,10,2.2,50,0.01,10,3.6,20,0.01,9,4.31
11,4,20,0.01,11,4,20,0.01,11,3.2,20,0.01,10,4.1
12,6,10,0.1,12,3.2,20,0.1,12,2.8,20,0.1,,
13,5,10,0.1,13,2.6,20,0.1,13,2.4,20,0.1,,
14,4.4,10,0.1,14,4.4,10,0.1,14,4.2,10,0.1,,
15,3.8,10,0.1,15,4,10,0.1,15,3.6,10,0.1,,
16,3.2,10,0.1,16,3.4,10,0.1,16,3.2,10,0.1,,
7.81,5.8,50,0.1,7.95,4.4,50,0.1,8.26,4.4,20,0.1,,
8,5.6,50,0.1,8.2,4.2,50,0.1,7.4,4.2,20,0.1,,
8.2,5.2,50,0.1,8.4,4,50,0.1,7.2,4,20,0.1,,
8.4,4.8,50,0.1,8.6,3.6,50,0.1,9.1,4.2,20,0.1,,
8.6,4.4,50,0.1,7.7,4.2,50,0.1,9.5,4,20,0.1,,
7.59,5.6,50,0.1,7.5,4,50,0.1,,,,,,
7.4,4.8,50,0.1,7.3,3.6,50,0.1,,,,,,
7.2,4,50,0.1,7.2,3.2,50,0.1,,,,,,
